ItemID,Date,Price
512243,10/15/2012,28.15
513263,10/15/2012,23
513273,10/15/2012,35.78
513276,10/15/2012,33.5
512301,10/15/2012,31.8
515001,10/16/2012,21.43
515064,10/16/2012,32.71
513224,10/16/2012,14.05
513177,10/16/2012,25.8
512179,10/16/2012,10.81
512178,10/16/2012,10.81
512177,10/16/2012,10.9
512154,10/16/2012,9.73
512018,10/16/2012,15.32
512004,10/16/2012,19.13
512009,10/16/2012,14.85
512012,10/16/2012,7.9
512024,10/16/2012,9.68
512025,10/16/2012,7.8
512041,10/16/2012,20.44
512180,10/16/2012,11.28
512184,10/16/2012,17.67
512198,10/16/2012,12.78
512230,10/16/2012,18.2
512237,10/16/2012,18.76
512244,10/16/2012,18.76
512285,10/16/2012,18.13
512287,10/16/2012,18.13
512311,10/16/2012,16.81
512370,10/16/2012,26.99
512371,10/16/2012,22.54
513084,10/16/2012,15.84
513189,10/16/2012,21.02
513202,10/16/2012,11.47
513205,10/16/2012,17.43
513228,10/16/2012,22.52
513276,10/16/2012,28.13
515004,10/16/2012,24.99
515006,10/16/2012,21.15
515010,10/16/2012,23.93
515012,10/16/2012,26.75
515017,10/16/2012,21.93
515020,10/16/2012,40.59
515024,10/16/2012,23.03
515032,10/16/2012,17.68
515036,10/16/2012,22.37
515038,10/16/2012,22.37
515043,10/16/2012,35.53
515044,10/16/2012,29.78
515056,10/16/2012,42.42
515058,10/16/2012,31.38
515059,10/16/2012,35.36
515066,10/16/2012,33.72
515071,10/16/2012,27.54
515073,10/16/2012,30.55
515078,10/16/2012,34.65
515084,10/16/2012,19.03
515088,10/16/2012,37.19
515096,10/16/2012,34.87
NN200K,10/16/2012,10.94
518514,10/16/2012,10.42
541001,10/16/2012,28.85
515117,10/16/2012,42.18
510021,10/16/2012,5.69
511026,10/16/2012,8.61
510002,10/16/2012,4.27
511007,10/16/2012,6.96
512239,10/16/2012,26.8
512194,10/16/2012,13.3
518514,10/16/2012,11
512003,10/16/2012,22.17
515054,10/16/2012,29.6
513174,10/16/2012,17.77
512208,10/16/2012,27.5
512206,10/16/2012,22.48
513178,10/16/2012,22.98
541001,10/16/2012,52
HA590046,10/16/2012,21.54
515040,10/16/2012,15.97
513230,10/16/2012,27.81
512244,10/16/2012,28.12
513256,10/16/2012,34.5
512201,10/16/2012,20.71
513224,10/16/2012,18.78
515078,10/16/2012,51.75
512307,10/16/2012,38.5
515096,10/16/2012,40
HA590250,10/16/2012,33.5
512207,10/16/2012,22.47
515032,10/16/2012,21.84
513165,10/16/2012,36.44
512303,10/16/2012,10.07
512209,10/16/2012,20.49
513157,10/16/2012,16.5
512018,10/16/2012,15.24
513035,10/16/2012,9.14
513044,10/16/2012,16.32
513125,10/16/2012,11.6
513098,10/16/2012,7.28
512136,10/16/2012,17.2
513156,10/16/2012,18.43
512178,10/16/2012,11.6
513159,10/16/2012,22
512041,10/16/2012,29.4
512179,10/16/2012,13
513158,10/16/2012,20.33
513214,10/16/2012,24.25
513215,10/16/2012,21.05
510038,10/16/2012,13.91
512360,10/16/2012,36.5
518516K,10/16/2012,19.6
515031,10/16/2012,35.57
A14,10/17/2012,1.4
VKBA529,10/18/2012,3.5
512351,10/18/2012,21.3
BM500006,10/18/2012,15.31
510088,10/18/2012,9.6
511037,10/18/2012,9.63
512291,10/18/2012,23.31
512280,10/18/2012,30.59
513256,10/18/2012,32.3
512218,10/18/2012,18.69
513257,10/18/2012,29.82
512370,10/18/2012,33.39
512345,10/18/2012,28.5
HA590250,10/18/2012,31.89
510082,10/18/2012,9.88
511026,10/18/2012,7.49
511028,10/18/2012,7.48
511030,10/18/2012,4.62
511037,10/18/2012,10.23
511038,10/18/2012,9.79
512144,10/18/2012,12.43
512275,10/18/2012,17.93
512281,10/18/2012,24.86
512291,10/18/2012,21.23
512330,10/18/2012,28.3
512337,10/18/2012,20.09
512340,10/18/2012,21.45
512349,10/18/2012,27.47
512355,10/18/2012,18.48
